"id";"title";"runtime";"revenue";"adult";"release_date"
2687;"Memoirs of an Invisible Man";99;14358033;FALSE;1992-02-28
6547;"Schtonk!";115;0;FALSE;1992-03-12
1482;"Laws of Gravity";100;0;FALSE;1992-03-21
2731;"Indochine";148;0;FALSE;1992-04-15
5899;"The Northerners";108;0;FALSE;1992-04-17
62383;"Passed Away";96;0;FALSE;1992-04-24
46972;"Big Girls Don't Cry... They Get Even";96;0;FALSE;1992-05-08
943;"Lethal Weapon 3";118;321731527;FALSE;1992-05-15
2005;"Sister Act";100;231605150;FALSE;1992-05-28
1923;"Twin Peaks: Fire Walk with Me";134;4160851;FALSE;1992-06-03
364;"Batman Returns";126;2,8e+08;FALSE;1992-06-19
2613;"Prelude to a Kiss";105;22697691;FALSE;1992-07-10
5237;"Dust Devil";103;0;FALSE;1992-08-08
500;"Reservoir Dogs";99;14661007;FALSE;1992-09-02
2322;"Sneakers";126;105232691;FALSE;1992-09-09
766;"Army of Darkness";81;0;FALSE;1992-10-09
293;"A River Runs Through It";123;43440294;FALSE;1992-10-09
6114;"Dracula";128;215862692;FALSE;1992-11-13
103299;"Traces of Red";105;3206713;FALSE;1992-11-13
1883;"Malcolm X";202;48169908;FALSE;1992-11-18
619;"The Bodyguard";129;411006740;FALSE;1992-11-25
2470;"Belle Époque";109;0;FALSE;1992-12-04
881;"A Few Good Men";138;243240178;FALSE;1992-12-11
34334;"That Night";89;0;FALSE;1992-12-17
2007;"Lorenzo's Oil";135;7286388;FALSE;1992-12-30
49688;"Johnny 100 Pesos";90;0;FALSE;1993-01-01
99106;"The Monster";132;0;FALSE;1993-01-01
108;"Three Colors: Blue";98;0;FALSE;1993-01-10
26797;"Denis Leary: No Cure for Cancer";62;0;FALSE;1993-01-12
7305;"Alive";120;36733909;FALSE;1993-01-15
2149;"Body of Evidence";101;13273595;FALSE;1993-01-15
1049;"Sommersby";109;140081992;FALSE;1993-02-05
1644;"The Vanishing";109;0;FALSE;1993-02-05
137;"Groundhog Day";101;70906973;FALSE;1993-02-11
31000;"Amos & Andrew";96;0;FALSE;1993-03-05
1499;"Teenage Mutant Ninja Turtles III";96;4,2e+07;FALSE;1993-03-17
91548;"Ring of Fire II: Blood and Steel";94;0;FALSE;1993-03-17
4478;"Indecent Proposal";117;266614059;FALSE;1993-04-07
1987;"Benny's Video";105;0;FALSE;1993-04-14
4104;"Benny & Joon";98;23202734;FALSE;1993-04-16
5187;"Three of Hearts";110;0;FALSE;1993-04-30
5051;"The Baby of Mâcon";122;0;FALSE;1993-05-01
867;"Sliver";108;116300000;FALSE;1993-05-21
4722;"Body Snatchers";87;428868;FALSE;1993-06-09
329;"Jurassic Park";127;920100000;FALSE;1993-06-11
858;"Sleepless in Seattle";105;227799884;FALSE;1993-06-24
7007;"Rising Sun";125;107198790;FALSE;1993-07-30
5503;"The Fugitive";130;368875760;FALSE;1993-08-06
57845;"Mandroid";81;0;FALSE;1993-08-18
2019;"Hard Target";97;74189677;FALSE;1993-08-20
695;"Short Cuts";187;6110979;FALSE;1993-09-05
1479;"Clean, Shaven";79;0;FALSE;1993-09-05
1413;"M. Butterfly";101;1499795;FALSE;1993-09-09
319;"True Romance";120;12281551;FALSE;1993-09-09
2047;"The Real McCoy";100;0;FALSE;1993-09-10
2887;"And the Band Played On";140;0;FALSE;1993-09-11
2088;"Romeo Is Bleeding";100;3275585;FALSE;1993-09-13
2246;"Malice";107;46405336;FALSE;1993-09-29
864;"Cool Runnings";98;154864401;FALSE;1993-09-30
507;"Killing Zoe";96;418961;FALSE;1993-10-01
2625;"Mr. Jones";114;0;FALSE;1993-10-08
84152;"Dollman vs. Demonic Toys";64;0;FALSE;1993-10-13
6;"Judgment Night";110;12136938;FALSE;1993-10-15
2259;"The House of the Spirits";140;0;FALSE;1993-10-19
1245;"The Remains of the Day";134;23237911;FALSE;1993-11-05
2758;"Addams Family Values";94;48919043;FALSE;1993-11-19
49299;"Dangerous Game";108;0;FALSE;1993-11-19
58306;"Devo: The Complete Truth About De-Evolution";90;0;FALSE;1993-11-19
788;"Mrs. Doubtfire";125;441286195;FALSE;1993-11-24
424;"Schindler's List";195;321365567;FALSE;1993-11-29
1689;"Little Buddha";140;4858139;FALSE;1993-12-01
90376;"Love, Cheat & Steal";96;0;FALSE;1993-12-05
6279;"Sister Act 2: Back in the Habit";107;57319029;FALSE;1993-12-09
8873;"Wayne's World 2";95;47965000;FALSE;1993-12-10
6593;"Godzilla vs. Mechagodzilla II";108;0;FALSE;1993-12-11
7984;"In the Name of the Father";133;65796862;FALSE;1993-12-12
1587;"What's Eating Gilbert Grape";118;10032765;FALSE;1993-12-17
531;"The Wrong Trousers";30;0;FALSE;1993-12-17
55156;"Hail the Judge";106;0;FALSE;1994-01-01
26391;"Cabin Boy";80;3662459;FALSE;1994-01-07
160718;"I Spy Returns";95;0;FALSE;1994-02-03
2087;"The Getaway";115;30;FALSE;1994-02-11
2788;"Reality Bites";99;20079850;FALSE;1994-02-18
48791;"Royal Deceit";85;0;FALSE;1994-02-23
6498;"Nightwatch";107;0;FALSE;1994-02-25
27768;"Some Folks Call It a Sling Blade";25;0;FALSE;1994-03-26
2701;"Abraham";175;0;FALSE;1994-04-03
2348;"Holy Matrimony";93;616938;FALSE;1994-04-08
33124;"1942: A Love Story";157;0;FALSE;1994-04-15
81949;"An Unforgettable Summer";82;65352;FALSE;1994-05-15
64900;"I Can't Sleep";112;0;FALSE;1994-05-18
306;"Beverly Hills Cop III";104;119208989;FALSE;1994-05-24
